 Bazy danych                                                                                                        |      1 | testPka
 Sieci komputerowe                                                                                                  |      3 | 233237
 Systemy operacyjne                                                                                                 |      3 | 233237
 Testowanie oprogramowania                                                                                          |      2 | 233237
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 221019
 Algorytmy metaheurystyczne                                                                                         |      1 | 221019
 Algorytmy rozproszone                                                                                              |      1 | 221019
 Analiza numeryczna (M)                                                                                             |      3 | 221019
 Analiza wariancji i danych                                                                                         |      1 | 221019
 Eksploracja danych                                                                                                 |      1 | 221019
 Języki formalne i złożoność obliczeniowa                                                                           |      1 | 221019
 Kryptografia                                                                                                       |      1 | 221019
 Kurs WWW                                                                                                           |      3 | 221019
 Licencjacki projekt programistyczny                                                                                |      2 | 221019
 Matematyka dyskretna (M)                                                                                           |      3 | 221019
 Metody biometryczne                                                                                                |      1 | 221019
 Optymalizacja dyskretna                                                                                            |      1 | 221019
 Pewne algorytmy symboliczne                                                                                        |      2 | 221019
 Podstawy grafiki komputerowej                                                                                      |      3 | 221019
 Projekt zespołowy 1                                                                                                |      3 | 221019
 Projektowanie obiektowe oprogramowania                                                                             |      1 | 221019
 Przemoc seksualna w konfliktach zbrojnych                                                                          |      1 | 221019
 Przetwarzanie dużych danych                                                                                        |      3 | 221019
 Rozszerzony kurs języka Python                                                                                     |      3 | 221019
 Równoległe algorytmy sztucznej inteligencji                                                                        |      2 | 221019
 Seminarium aproksymacyjno-optymalizacyjno-kombinatoryczne                                                          |      1 | 221019
 Seminarium: Bezpieczeństwo i ochrona informacji                                                                    |      3 | 221019
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 221019
 Technologie Semantic Web                                                                                           |      1 | 221019
 Wdrażanie systemów klasy ERP                                                                                       |      3 | 221019
 Algorytmy funkcjonalne i trwałe struktury danych                                                                   |      3 | 233210
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 233210
 Algorytmy metaheurystyczne                                                                                         |      2 | 233210
 Analiza programów komputerowych                                                                                    |      3 | 233210
 Architektury systemów komputerowych                                                                                |      3 | 233210
 Eksploracja danych                                                                                                 |      3 | 233210
 Inżynieria oprogramowania                                                                                          |      3 | 233210
 Kryptografia                                                                                                       |      3 | 233210
 Kurs języka Java                                                                                                   |      3 | 233210
 Licencjacki projekt programistyczny                                                                                |      3 | 233210
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 233210
 Optymalizacja dyskretna                                                                                            |      3 | 233210
 Programowanie obiektowe                                                                                            |      3 | 233210
 Seminarium: Teoria automatów, klasyczne i nowe wyniki algorytmiczne                                               |      3 | 233210
 Systemy operacyjne                                                                                                 |      3 | 233210
 Systemy wbudowane                                                                                                  |      3 | 233210
 Testowanie oprogramowania                                                                                          |      3 | 233210
 Algorytmika: nowe osiągnięcia i trendy 2012                                                                        |      3 | 209137
 Algorytmy Internetu                                                                                                |      3 | 209137
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 209137
 Eksploracja danych                                                                                                 |      3 | 209137
 Integracja informacji                                                                                              |      3 | 209137
 Kryptografia                                                                                                       |      3 | 209137
 Kurs pracy w systemie Linux                                                                                        |      3 | 209137
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 209137
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      1 | 209137
 Modelowanie zjawisk przyrodniczych                                                                                 |      2 | 209137
 Optymalizacja kombinatoryczna                                                                                      |      3 | 209137
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 209137
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209137
 Przetwarzanie dużych danych                                                                                        |      3 | 209137
 Rozszerzony kurs języka Python                                                                                     |      2 | 209137
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 209137
 Technologie Semantic Web                                                                                           |      2 | 209137
 Zaawansowane technologie Javy                                                                                      |      3 | 209137
 Algorytmy i struktury danych (M)                                                                                   |      3 | 221081
 Analiza numeryczna (L)                                                                                             |      3 | 221081
 Analiza numeryczna (M)                                                                                             |      3 | 221081
 Bazy danych                                                                                                        |      3 | 221081
 Inżynieria oprogramowania                                                                                          |      3 | 221081
 Matematyka dyskretna (L)                                                                                           |      3 | 221081
 Matematyka dyskretna (M)                                                                                           |      3 | 221081
 Podstawy grafiki komputerowej                                                                                      |      3 | 221081
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 221081
 Analiza wariancji i danych                                                                                         |      2 | 233179
 Bazy danych                                                                                                        |      3 | 233179
 Inżynieria oprogramowania                                                                                          |      3 | 233179
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233179
 Kurs języka C++                                                                                                    |      3 | 233179
 Kurs języka Java                                                                                                   |      2 | 233179
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      3 | 233179
 Kurs WWW                                                                                                           |      3 | 233179
 Licencjacki projekt programistyczny                                                                                |      3 | 233179
 Modelowanie zjawisk przyrodniczych                                                                                 |      2 | 233179
 Podstawy elektroniki, elektrotechniki i miernictwa                                                                 |      3 | 233179
 Podstawy grafiki komputerowej                                                                                      |      3 | 233179
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233179
 Przemoc seksualna w konfliktach zbrojnych                                                                          |      3 | 233179
 Seminarium: Zaawansowane techniki programowania .NET                                                               |      3 | 233179
 Systemy operacyjne                                                                                                 |      3 | 233179
 Systemy wbudowane                                                                                                  |      3 | 233179
 Sztuczna inteligencja                                                                                              |      3 | 233179
 Testowanie oprogramowania                                                                                          |      3 | 233179
 Wnioskowanie statystyczne                                                                                          |      2 | 233179
 Algorytmy i struktury danych (M)                                                                                   |      3 | 226183
 Algorytmy metaheurystyczne                                                                                         |      3 | 226183
 Algorytmy rozproszone                                                                                              |      3 | 226183
 Analiza numeryczna (L)                                                                                             |      3 | 226183
 Analiza numeryczna (M)                                                                                             |      3 | 226183
 Bazy danych                                                                                                        |      3 | 226183
 Buddyzm                                                                                                            |      3 | 226183
 Języki formalne i złożoność obliczeniowa                                                                           |      1 | 226183
 Kryptografia                                                                                                       |      3 | 226183
 Kurs Blendera                                                                                                      |      3 | 226183
 Kurs pracy w systemie Linux                                                                                        |      1 | 226183
 Matematyczne metody grafiki komputerowej                                                                           |      1 | 226183
 Matematyka dyskretna (L)                                                                                           |      3 | 226183
 Matematyka dyskretna (M)                                                                                           |      3 | 226183
 Metody biometryczne                                                                                                |      3 | 226183
 Optymalizacja kombinatoryczna                                                                                      |      3 | 226183
 Podstawy grafiki komputerowej                                                                                      |      1 | 226183
 Projekt: Programowanie multimediów, interaktywna grafika 3D                                                        |      3 | 226183
 Przemoc seksualna w konfliktach zbrojnych                                                                          |      3 | 226183
 Przetwarzanie dużych danych                                                                                        |      3 | 226183
 Rozszerzony kurs języka Python                                                                                     |      3 | 226183
 Wdrażanie systemów klasy ERP                                                                                       |      1 | 226183
 Algorytmy i struktury danych (M)                                                                                   |      3 | 241688
 Analiza matematyczna 2                                                                                             |      3 | 241688
 Analiza numeryczna (L)                                                                                             |      3 | 241688
 Analiza numeryczna (M)                                                                                             |      3 | 241688
 Architektury systemów komputerowych                                                                                |      3 | 241688
 Bazy danych                                                                                                        |      3 | 241688
 Buddyzm                                                                                                            |      2 | 241688
 Dwa tysiące lat judaizmu                                                                                           |      2 | 241688
 Eksploracja danych                                                                                                 |      2 | 241688
 Inżynieria oprogramowania                                                                                          |      2 | 241688
 Kurs języka Java                                                                                                   |      2 | 241688
 Kurs pracy w systemie Linux                                                                                        |      2 | 241688
 Kurs programowania pod Windows w technologii .NET                                                                  |      2 | 241688
 Kurs: Ruby on Rails                                                                                                |      2 | 241688
 Matematyka dyskretna (L)                                                                                           |      3 | 241688
 Matematyka dyskretna (M)                                                                                           |      3 | 241688
 Mniejszości narodowe i etniczne w Polsce                                                                           |      2 | 241688
 Programowanie funkcyjne                                                                                            |      3 | 241688
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 241688
 Sieci komputerowe                                                                                                  |      3 | 241688
 Socjotechnika                                                                                                      |      2 | 241688
 Systemy operacyjne                                                                                                 |      3 | 241688
 Testowanie oprogramowania                                                                                          |      2 | 241688
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209115
 Algorytmy ewolucyjne                                                                                               |      3 | 209115
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 209115
 Algorytmy Internetu                                                                                                |      3 | 209115
 Buddyzm                                                                                                            |      3 | 209115
 Kurs języka C++                                                                                                    |      3 | 209115
 Kurs języka Java                                                                                                   |      3 | 209115
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 209115
 Kurs WWW                                                                                                           |      3 | 209115
 Matematyczne metody grafiki komputerowej                                                                           |      3 | 209115
 Matematyczne podstawy informatyki                                                                                  |      3 | 209115
 Metody biometryczne                                                                                                |      3 | 209115
 Pewne algorytmy symboliczne                                                                                        |      3 | 209115
 Podstawy grafiki komputerowej                                                                                      |      3 | 209115
 Rozszerzony kurs języka Python                                                                                     |      2 | 209115
 Seminarium - Aukcje, Głosowania, Gry                                                                               |      3 | 209115
 Seminarium: Co nowego w bazach danych?                                                                             |      3 | 209115
 Seminarium: Zastosowania algorytmów ewolucyjnych                                                                   |      3 | 209115
 Algorytmy funkcjonalne i trwałe struktury danych                                                                   |      3 | 208933
 Algorytmy Internetu                                                                                                |      3 | 208933
 Algorytmy rozproszone                                                                                              |      3 | 208933
 Algorytmy tekstowe                                                                                                 |      3 | 208933
 Analiza programów komputerowych                                                                                    |      3 | 208933
 Eksploracja danych                                                                                                 |      3 | 208933
 Przetwarzanie dużych danych                                                                                        |      3 | 208933
 Rozszerzony kurs języka Python                                                                                     |      1 | 208933
 Seminarium: Programowanie w teorii typów                                                                           |      3 | 208933
 Seminarium: Teoria automatów, klasyczne i nowe wyniki algorytmiczne                                               |      3 | 208933
 Socjotechnika                                                                                                      |      1 | 208933
 Systemy wbudowane                                                                                                  |      3 | 208933
 Złożoność obliczeniowa                                                                                             |      2 | 208933
 Analiza numeryczna (L)                                                                                             |      3 | 241698
 Analiza numeryczna (M)                                                                                             |      3 | 241698
 Architektury systemów komputerowych                                                                                |      3 | 241698
 Bazy danych                                                                                                        |      2 | 241698
 CCNA exploration 1: Network Fundamentals                                                                                                 |      2 | 241698
 Kurs Blendera                                                                                                      |      1 | 241698
 Kurs języka Java                                                                                                   |      3 | 241698
 Kurs WWW                                                                                                           |      1 | 241698
 Matematyka dyskretna (L)                                                                                           |      3 | 241698
 Matematyka dyskretna (M)                                                                                           |      3 | 241698
 Podstawy grafiki komputerowej                                                                                      |      2 | 241698
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 241698
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      1 | 241698
 Seminarium: Programowanie gier                                                                                     |      2 | 241698
 Algorytmy ewolucyjne                                                                                               |      3 | 233160
 Algorytmy Internetu                                                                                                |      3 | 233160
 Algorytmy metaheurystyczne                                                                                         |      2 | 233160
 Algorytmy rozproszone                                                                                              |      3 | 233160
 Algorytmy tekstowe                                                                                                 |      3 | 233160
 Bazy danych                                                                                                        |      3 | 233160
 Buddyzm                                                                                                            |      3 | 233160
 Filozofia matematyki                                                                                               |      3 | 233160
 Inżynieria oprogramowania                                                                                          |      3 | 233160
 Kryptografia                                                                                                       |      3 | 233160
 Kurs pracy w systemie Linux                                                                                        |      3 | 233160
 Licencjacki projekt programistyczny                                                                                |      3 | 233160
 Optymalizacja kombinatoryczna                                                                                      |      3 | 233160
 Pewne algorytmy symboliczne                                                                                        |      3 | 233160
 Podstawy grafiki komputerowej                                                                                      |      3 | 233160
 Realistyczna grafika komputerowa                                                                                   |      3 | 233160
 Rozszerzony kurs języka Python                                                                                     |      3 | 233160
 Sieci neuronowe                                                                                                    |      1 | 233160
 Socjotechnika                                                                                                      |      3 | 233160
 Sztuczna inteligencja                                                                                              |      3 | 233160
 Złożoność obliczeniowa                                                                                             |      2 | 233160
 Algorytmy ewolucyjne                                                                                               |      3 | 200043
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 200043
 Algorytmy Internetu                                                                                                |      3 | 200043
 Algorytmy metaheurystyczne                                                                                         |      3 | 200043
 Algorytmy rozproszone                                                                                              |      3 | 200043
 Eksploracja danych                                                                                                 |      2 | 200043
 Integracja informacji                                                                                              |      3 | 200043
 Optymalizacja dyskretna                                                                                            |      3 | 200043
 Optymalizacja kombinatoryczna                                                                                      |      3 | 200043
 Programowanie funkcyjne                                                                                            |      2 | 200043
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 200043
 Realistyczna grafika komputerowa                                                                                   |      2 | 200043
 Sieci neuronowe                                                                                                    |      2 | 200043
 Sztuczna inteligencja                                                                                              |      2 | 200043
 Zaawansowane technologie Javy                                                                                      |      3 | 200043
 Złożoność obliczeniowa                                                                                             |      2 | 200043
 Algorytmy ewolucyjne                                                                                               |      1 | 170697
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 170697
 Algorytmy Internetu                                                                                                |      1 | 170697
 Algorytmy metaheurystyczne                                                                                         |      1 | 170697
 Buddyzm                                                                                                            |      2 | 170697
 Compiler Construction                                                                                              |      2 | 170697
 Integracja informacji                                                                                              |      2 | 170697
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      2 | 170697
 Kurs: Ruby on Rails                                                                                                |      1 | 170697
 Podstawy grafiki komputerowej                                                                                      |      3 | 170697
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 170697
 Rachunek prawdopodobieństwa i statystyka                                                                           |      1 | 170697
 Rozszerzony kurs języka Python                                                                                     |      2 | 170697
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 170697
 Seminarium: Testowanie oprogramowania                                                                              |      1 | 170697
 Seminarium: Zaawansowane techniki programowania .NET                                                               |      2 | 170697
 Sieci neuronowe                                                                                                    |      3 | 170697
 Systemy wbudowane                                                                                                  |      1 | 170697
 Testowanie oprogramowania                                                                                          |      1 | 170697
 Architektury systemów komputerowych                                                                                |      3 | 241647
 CCNA exploration 1: Network Fundamentals                                                                                                 |      3 | 241647
 CCNA Exploration 2                                                                                                 |      3 | 241647
 Kurs języka C++                                                                                                    |      3 | 241647
 Kurs języka Java                                                                                                   |      3 | 241647
 Kurs pracy w systemie Linux                                                                                        |      3 | 241647
 Programowanie obiektowe                                                                                            |      3 | 241647
 Sieci komputerowe                                                                                                  |      3 | 241647
 Socjotechnika                                                                                                      |      3 | 241647
 Systemy operacyjne                                                                                                 |      3 | 241647
 Algorytmy i struktury danych (M)                                                                                   |      3 | 233111
 Analiza matematyczna 2                                                                                             |      1 | 233111
 Analiza numeryczna (L)                                                                                             |      2 | 233111
 Analiza numeryczna (M)                                                                                             |      3 | 233111
 Bazy danych                                                                                                        |      2 | 233111
 Filozofia matematyki                                                                                               |      2 | 233111
 Kurs Blendera                                                                                                      |      1 | 233111
 Kurs pracy w systemie Linux                                                                                        |      2 | 233111
 Kurs programowania pod Windows w technologii .NET                                                                  |      2 | 233111
 Matematyczne metody grafiki komputerowej                                                                           |      3 | 233111
 Matematyka dyskretna (L)                                                                                           |      3 | 233111
 Matematyka dyskretna (M)                                                                                           |      2 | 233111
 Metody biometryczne                                                                                                |      2 | 233111
 Modelowanie zjawisk przyrodniczych                                                                                 |      3 | 233111
 Podstawy grafiki komputerowej                                                                                      |      2 | 233111
 Programowanie obiektowe                                                                                            |      3 | 233111
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 233111
 Rachunek prawdopodobieństwa i statystyka                                                                           |      3 | 233111
 Sieci komputerowe                                                                                                  |      1 | 233111
 Sieci neuronowe                                                                                                    |      2 | 233111
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241614
 Algorytmy i struktury danych (M)                                                                                   |      3 | 241614
 Analiza numeryczna (L)                                                                                             |      3 | 241614
 Architektury systemów komputerowych                                                                                |      3 | 241614
 Buddyzm                                                                                                            |      3 | 241614
 CCNA exploration 1: Network Fundamentals                                                                                                 |      3 | 241614
 CCNA Exploration 2                                                                                                 |      3 | 241614
 CCNA Exploration 4                                                                                                 |      2 | 241614
 Inżynieria oprogramowania                                                                                          |      3 | 241614
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241614
 Kurs Blendera                                                                                                      |      3 | 241614
 Kurs języka Java                                                                                                   |      3 | 241614
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 241614
 Kurs WWW                                                                                                           |      3 | 241614
 Matematyka dyskretna (L)                                                                                           |      3 | 241614
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 241614
 Rachunek prawdopodobieństwa dla informatyków                                                                       |      3 | 241614
 Rachunek prawdopodobieństwa i statystyka                                                                           |      3 | 241614
 Algorytmy Internetu                                                                                                |      3 | 221041
 Algorytmy metaheurystyczne                                                                                         |      3 | 221041
 Analiza programów komputerowych                                                                                    |      2 | 221041
 Eksploracja danych                                                                                                 |      3 | 221041
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221041
 Kurs Blendera                                                                                                      |      3 | 221041
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 221041
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 221041
 Optymalizacja dyskretna                                                                                            |      3 | 221041
 Podstawy grafiki komputerowej                                                                                      |      3 | 221041
 Programowanie funkcyjne                                                                                            |      3 | 221041
 Projektowanie obiektowe oprogramowania                                                                             |      2 | 221041
 Przetwarzanie dużych danych                                                                                        |      2 | 221041
 Rozszerzony kurs języka Python                                                                                     |      3 | 221041
 Seminarium: Bezpieczeństwo i ochrona informacji                                                                    |      3 | 221041
 Seminarium: Data-Mining - klasyfikacja i grupowanie danych                                                         |      2 | 221041
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 221041
 Seminarium: Zastosowania algorytmów ewolucyjnych                                                                   |      3 | 221041
 Algorytmy i struktury danych (M)                                                                                   |      3 | 221028
 Bazy danych                                                                                                        |      3 | 221028
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 221028
 Kurs języka Java                                                                                                   |      3 | 221028
 Kurs pracy w systemie Linux                                                                                        |      3 | 221028
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 221028
 Kurs WWW                                                                                                           |      3 | 221028
 Kurs: Ruby on Rails                                                                                                |      3 | 221028
 Licencjacki projekt programistyczny                                                                                |      3 | 221028
 Podstawy grafiki komputerowej                                                                                      |      2 | 221028
 Projekt zespołowy 1                                                                                                |      1 | 221028
 Rozszerzony kurs języka Python                                                                                     |      3 | 221028
 Seminarium: Testowanie oprogramowania                                                                              |      1 | 221028
 Sieci komputerowe                                                                                                  |      3 | 221028
 Sieci neuronowe                                                                                                    |      1 | 221028
 Systemy operacyjne                                                                                                 |      3 | 221028
 Systemy wbudowane                                                                                                  |      3 | 221028
 Testowanie oprogramowania                                                                                          |      3 | 221028
 Zaawansowane technologie Javy                                                                                      |      3 | 221028
 Algorytmy ewolucyjne                                                                                               |      3 | 221062
 Analiza programów komputerowych                                                                                    |      3 | 221062
 Compiler Construction                                                                                              |      3 | 221062
 Eksploracja danych                                                                                                 |      2 | 221062
 Kurs języka C++                                                                                                    |      3 | 221062
 Matematyczne metody grafiki komputerowej                                                                           |      3 | 221062
 Matematyka dyskretna (M)                                                                                           |      3 | 221062
 Optymalizacja dyskretna                                                                                            |      3 | 221062
 Podstawy elektroniki, elektrotechniki i miernictwa                                                                 |      3 | 221062
 Podstawy grafiki komputerowej                                                                                      |      3 | 221062
 Projekt zespołowy 1                                                                                                |      3 | 221062
